dict_prices,dict_address,dict_sqft,dict_acres,dict_url,dict_broker
"$3,299","7174 Bally Castle Dr,Brownwood, TX 76801",0,"4,748",https://www.realtor.com/realestateandhomes-detail/7174-Bally-Castle-Dr_Brownwood_TX_76801_M99232-69396?from=srp-list-card,Brokered by eXp Realty LLC
"$32,000","4637 County Road 120,Brownwood, TX 76801",0,1.77,https://www.realtor.com/realestateandhomes-detail/4637-County-Road-120_Brownwood_TX_76801_M90923-35241?from=srp-list-card,Brokered by KW Synergy
"$595,000","2700 Pheasant Grove Ln,Brownwood, TX 76801","3,189",0.31,https://www.realtor.com/realestateandhomes-detail/2700-Pheasant-Grove-Ln_Brownwood_TX_76801_M79391-91604?from=srp-list-card,Brokered by Setzler Associates Realty
"$174,500","1504 Phillips Dr,Brownwood, TX 76801","1,654",0,https://www.realtor.com/realestateandhomes-detail/1504-Phillips-Dr_Brownwood_TX_76801_M74497-52913?from=srp-list-card,
"$559,000","7523 Seagull Dr,Brownwood, TX 76801","1,998",0,https://www.realtor.com/realestateandhomes-detail/7523-Seagull-Dr_Brownwood_TX_76801_M85347-41075?from=srp-list-card,
"$158,000","160 County Road 473,Brownwood, TX 76801","1,288",0,https://www.realtor.com/realestateandhomes-detail/160-County-Road-473_Brownwood_TX_76801_M76005-39995?from=srp-list-card,
"$235,000","8982 County Road 149,Brownwood, TX 76801",584,0,https://www.realtor.com/realestateandhomes-detail/8982-County-Road-149_Brownwood_TX_76801_M90293-09087?from=srp-list-card,
"$425,000","7231 Ardee Dr,Brownwood, TX 76801","2,266",0,https://www.realtor.com/realestateandhomes-detail/7231-Ardee-Dr_Brownwood_TX_76801_M76986-23956?from=srp-list-card,
"$169,000","3908 Crestridge Dr,Brownwood, TX 76801","1,092",0,https://www.realtor.com/realestateandhomes-detail/3908-Crestridge-Dr_Brownwood_TX_76801_M82546-31818?from=srp-list-card,
"$890,000","2007 Deepwater Rd,Brownwood, TX 76801","2,450",0,https://www.realtor.com/realestateandhomes-detail/2007-Deepwater-Rd_Brownwood_TX_76801_M83960-93336?from=srp-list-card,
"$999,998","2150 FM 1176,Brownwood, TX 76801","3,876",0,https://www.realtor.com/realestateandhomes-detail/2150-FM-1176_Brownwood_TX_76801_M80349-29889?from=srp-list-card,
"$356,820","7284 Feather Bay Blvd,Brownwood, TX 76801","1,878",0,https://www.realtor.com/realestateandhomes-detail/7284-Feather-Bay-Blvd_Brownwood_TX_76801_M89358-95403?from=srp-list-card,
"$59,000","584 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/584-Breezy-St_Brownwood_TX_76801_M94020-67508?from=srp-list-card,
"$49,000","993 Long View Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Long-View-Dr_Brownwood_TX_76801_M71082-25925?from=srp-list-card,
"$25,000","1218 Feather Bay Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Feather-Bay-Dr_Brownwood_TX_76801_M71164-61699?from=srp-list-card,
"$75,000","Tbd598 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Breezy-St_Brownwood_TX_76801_M85354-49128?from=srp-list-card,
"$77,500","804805 Bay Breeze Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/804805-Bay-Breeze-Dr_Brownwood_TX_76801_M90170-90823?from=srp-list-card,
"$75,000","Tbd597 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Breezy-St_Brownwood_TX_76801_M85353-00064?from=srp-list-card,
"$95,000","426 S Beacon Ln,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/S-Beacon-Ln_Brownwood_TX_76801_M85284-05865?from=srp-list-card,
"$49,000","207 Second Wind Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Second-Wind-Dr_Brownwood_TX_76801_M85196-48368?from=srp-list-card,
"$29,000","782 Feather Bay Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Kings-Point-Cv_Brownwood_TX_76801_M70489-73077?from=srp-list-card,
"$40,000","863 Pitchpole Cir,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/863-Pitchpole-Cir_Brownwood_TX_76801_M74144-07984?from=srp-list-card,
"$225,000","Tbd3 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Tbd3-Breezy-St_Brownwood_TX_76801_M94741-23361?from=srp-list-card,
"$190,000","2204 Elizabeth Dr,Brownwood, TX 76801","1,724",0.33,https://www.realtor.com/realestateandhomes-detail/2204-Elizabeth-Dr_Brownwood_TX_76801_M84634-83948?from=srp-list-card,Brokered by KW Synergy
"$79,000","8376 Highway 279,Brownwood, TX 76801","1,008",0.42,https://www.realtor.com/realestateandhomes-detail/8376-Highway-279_Brownwood_TX_76801_M91363-92363?from=srp-list-card,Brokered by Texas Realty
"$55,000","6944 Shamrock Dr,Brownwood, TX 76801",0,0.24,https://www.realtor.com/realestateandhomes-detail/6944-Shamrock-Dr_Brownwood_TX_76801_M78457-19785?from=srp-list-card,Brokered by Turnkey Realty
"$134,000","2714 Elizabeth Dr,Brownwood, TX 76801","1,646",0.26,https://www.realtor.com/realestateandhomes-detail/2714-Elizabeth-Dr_Brownwood_TX_76801_M81814-04241?from=srp-list-card,"Brokered by Coldwell Banker, Mark Campbell & As"
"$89,500","6898 Waterford Dr,Brownwood, TX 76801","1,056","9,888",https://www.realtor.com/realestateandhomes-detail/6898-Waterford-Dr_Brownwood_TX_76801_M76944-50171?from=srp-list-card,Brokered by Texas Goldstar Real Estate
